num_element_nodes,num_elements,x,y
3,5,4.000000,2.926953
3,5,5.000000,2.867682
3,5,6.000000,2.837117
3,5,7.000000,2.834942
3,5,8.000000,2.861145
3,5,9.000000,2.915978
3,5,10.000000,3.000000
3,6,0.000000,3.467351
3,6,0.833333,3.312536
3,6,1.666667,3.180742
3,6,2.500000,3.071045
3,6,3.333333,2.982691
3,6,4.166667,2.915059
3,6,5.000000,2.867685
3,6,5.833333,2.840234
3,6,6.666667,2.832521
3,6,7.500000,2.844487
3,6,8.333333,2.876220
3,6,9.166667,2.927937
3,6,10.000000,3.000000
3,7,0.000000,3.467351
3,7,0.714286,3.333221
3,7,1.428571,3.216105
3,7,2.142857,3.115404
3,7,2.857143,3.030606
3,7,3.571429,2.961276
3,7,4.285714,2.907061
3,7,5.000000,2.867684
3,7,5.714286,2.842945
3,7,6.428571,2.832716
3,7,7.142857,2.836947
3,7,7.857143,2.855657
3,7,8.571429,2.888944
3,7,9.285714,2.936976
3,7,10.000000,3.000000
3,8,0.000000,3.467351
3,8,0.625000,3.349044
3,8,1.250000,3.243823
3,8,1.875000,3.151278
3,8,2.500000,3.071047
3,8,3.125000,3.002815
3,8,3.750000,2.946318
3,8,4.375000,2.901332
3,8,5.000000,2.867685
3,8,5.625000,2.845242
3,8,6.250000,2.833918
3,8,6.875000,2.833666
3,8,7.500000,2.844488
3,8,8.125000,2.866424
3,8,8.750000,2.899562
3,8,9.375000,2.944029
3,8,10.000000,3.000000
4,1,0.000000,3.467341
4,1,3.333333,2.982110
4,1,6.666667,2.831965
4,1,10.000000,3.000000
4,2,0.000000,3.467351
4,2,1.666667,3.180702
4,2,3.333333,2.982653
4,2,5.000000,2.867684
4,2,6.666667,2.832485
4,2,8.333333,2.876184
4,2,10.000000,3.000000
4,3,0.000000,3.467351
4,3,1.111111,3.266089
4,3,2.222222,3.105198
4,3,3.333333,2.982691
4,3,4.444444,2.897030
4,3,5.555556,2.847178
4,3,6.666667,2.832521
4,3,7.777778,2.852854
4,3,8.888889,2.908451
4,3,10.000000,3.000000
4,4,0.000000,3.467351
4,4,0.833333,3.312535
4,4,1.666667,3.180739
4,4,2.500000,3.071047
4,4,3.333333,2.982688
4,4,4.166667,2.915058
4,4,5.000000,2.867685
4,4,5.833333,2.840233
4,4,6.666667,2.832518
4,4,7.500000,2.844488
4,4,8.333333,2.876218
4,4,9.166667,2.927935
4,4,10.000000,3.000000
4,5,0.000000,3.467351
4,5,0.666667,3.341626
4,5,1.333333,3.230759
4,5,2.000000,3.134258
4,5,2.666667,3.051689
4,5,3.333333,2.982690
4,5,4.000000,2.926953
4,5,4.666667,2.884227
4,5,5.333333,2.854326
4,5,6.000000,2.837117
4,5,6.666667,2.832520
4,5,7.333333,2.840517
4,5,8.000000,2.861145
4,5,8.666667,2.894491
4,5,9.333333,2.940708
4,5,10.000000,3.000000
4,6,0.000000,3.467351
4,6,0.555556,3.361535
4,6,1.111111,3.266096
4,6,1.666667,3.180742
4,6,2.222222,3.105206
4,6,2.777778,3.039257
4,6,3.333333,2.982691
4,6,3.888889,2.935332
4,6,4.444444,2.897036
4,6,5.000000,2.867685
4,6,5.555556,2.847185
4,6,6.111111,2.835476
4,6,6.666667,2.832521
4,6,7.222222,2.838309
4,6,7.777778,2.852861
4,6,8.333333,2.876220
4,6,8.888889,2.908458
4,6,9.444444,2.949676
4,6,10.000000,3.000000
4,7,0.000000,3.467351
4,7,0.476190,3.376009
4,7,0.952381,3.292323
4,7,1.428571,3.216105
4,7,1.904762,3.147181
4,7,2.380952,3.085395
4,7,2.857143,3.030606
4,7,3.333333,2.982691
4,7,3.809524,2.941540
4,7,4.285714,2.907061
4,7,4.761905,2.879175
4,7,5.238095,2.857819
4,7,5.714286,2.842945
4,7,6.190476,2.834518
4,7,6.666667,2.832520
4,7,7.142857,2.836947
4,7,7.619048,2.847807
4,7,8.095238,2.865127
4,7,8.571429,2.888944
4,7,9.047619,2.919314
4,7,9.523810,2.956304
4,7,10.000000,3.000000
4,8,0.000000,3.467351
4,8,0.416667,3.387004
4,8,0.833333,3.312538
4,8,1.250000,3.243824
4,8,1.666667,3.180742
4,8,2.083333,3.123183
4,8,2.500000,3.071047
4,8,2.916667,3.024243
4,8,3.333333,2.982691
4,8,3.750000,2.946318
4,8,4.166667,2.915060
4,8,4.583333,2.888864
4,8,5.000000,2.867685
4,8,5.416667,2.851484
4,8,5.833333,2.840235
4,8,6.250000,2.833917
4,8,6.666667,2.832521
4,8,7.083333,2.836042
4,8,7.500000,2.844488
4,8,7.916667,2.857873
4,8,8.333333,2.876220
4,8,8.750000,2.899562
4,8,9.166667,2.927938
4,8,9.583333,2.961398
4,8,10.000000,3.000000
5,1,0.000000,3.467351
5,1,2.500000,3.071036
5,1,5.000000,2.867688
5,1,7.500000,2.844493
5,1,10.000000,3.000000
5,2,0.000000,3.467351
5,2,1.250000,3.243823
5,2,2.500000,3.071047
5,2,3.750000,2.946318
5,2,5.000000,2.867685
5,2,6.250000,2.833918
5,2,7.500000,2.844488
5,2,8.750000,2.899562
5,2,10.000000,3.000000
5,3,0.000000,3.467351
5,3,0.833333,3.312538
5,3,1.666667,3.180742
5,3,2.500000,3.071047
5,3,3.333333,2.982691
5,3,4.166667,2.915060
5,3,5.000000,2.867685
5,3,5.833333,2.840235
5,3,6.666667,2.832521
5,3,7.500000,2.844488
5,3,8.333333,2.876220
5,3,9.166667,2.927938
5,3,10.000000,3.000000
5,4,0.000000,3.467351
5,4,0.625000,3.349044
5,4,1.250000,3.243824
5,4,1.875000,3.151278
5,4,2.500000,3.071047
5,4,3.125000,3.002815
5,4,3.750000,2.946318
5,4,4.375000,2.901333
5,4,5.000000,2.867685
5,4,5.625000,2.845242
5,4,6.250000,2.833918
5,4,6.875000,2.833666
5,4,7.500000,2.844488
5,4,8.125000,2.866425
5,4,8.750000,2.899562
5,4,9.375000,2.944029
5,4,10.000000,3.000000
5,5,0.000000,3.467351
5,5,0.500000,3.371645
5,5,1.000000,3.284369
5,5,1.500000,3.205306
5,5,2.000000,3.134258
5,5,2.500000,3.071047
5,5,3.000000,3.015515
5,5,3.500000,2.967524
5,5,4.000000,2.926953
5,5,4.500000,2.893701
5,5,5.000000,2.867685
5,5,5.500000,2.848839
5,5,6.000000,2.837117
5,5,6.500000,2.832489
5,5,7.000000,2.834944
5,5,7.500000,2.844488
5,5,8.000000,2.861145
5,5,8.500000,2.884955
5,5,9.000000,2.915980
5,5,9.500000,2.954296
5,5,10.000000,3.000000
5,6,0.000000,3.467351
5,6,0.416667,3.387004
5,6,0.833333,3.312538
5,6,1.250000,3.243824
5,6,1.666667,3.180742
5,6,2.083333,3.123183
5,6,2.500000,3.071047
5,6,2.916667,3.024243
5,6,3.333333,2.982691
5,6,3.750000,2.946318
5,6,4.166667,2.915060
5,6,4.583333,2.888864
5,6,5.000000,2.867685
5,6,5.416667,2.851484
5,6,5.833333,2.840235
5,6,6.250000,2.833918
5,6,6.666667,2.832521
5,6,7.083333,2.836042
5,6,7.500000,2.844488
5,6,7.916667,2.857873
5,6,8.333333,2.876220
5,6,8.750000,2.899562
5,6,9.166667,2.927938
5,6,9.583333,2.961398
5,6,10.000000,3.000000
5,7,0.000000,3.467351
5,7,0.357143,3.398119
5,7,0.714286,3.333222
5,7,1.071429,3.272576
5,7,1.428571,3.216105
5,7,1.785714,3.163737
5,7,2.142857,3.115405
5,7,2.500000,3.071047
5,7,2.857143,3.030606
5,7,3.214286,2.994032
5,7,3.571429,2.961276
5,7,3.928571,2.932298
5,7,4.285714,2.907061
5,7,4.642857,2.885532
5,7,5.000000,2.867685
5,7,5.357143,2.853495
5,7,5.714286,2.842945
5,7,6.071429,2.836022
5,7,6.428571,2.832717
5,7,6.785714,2.833025
5,7,7.142857,2.836947
5,7,7.500000,2.844488
5,7,7.857143,2.855658
5,7,8.214286,2.870470
5,7,8.571429,2.888944
5,7,8.928571,2.911104
5,7,9.285714,2.936977
5,7,9.642857,2.966596
5,7,10.000000,3.000000
5,8,0.000000,3.467351
5,8,0.312500,3.406534
5,8,0.625000,3.349044
5,8,0.937500,3.294825
5,8,1.250000,3.243824
5,8,1.562500,3.195990
5,8,1.875000,3.151278
5,8,2.187500,3.109644
5,8,2.500000,3.071047
5,8,2.812500,3.035449
5,8,3.125000,3.002815
5,8,3.437500,2.973115
5,8,3.750000,2.946318
5,8,4.062500,2.922398
5,8,4.375000,2.901333
5,8,4.687500,2.883101
5,8,5.000000,2.867685
5,8,5.312500,2.855069
5,8,5.625000,2.845242
5,8,5.937500,2.838194
5,8,6.250000,2.833917
5,8,6.562500,2.832409
5,8,6.875000,2.833666
5,8,7.187500,2.837692
5,8,7.500000,2.844488
5,8,7.812500,2.854063
5,8,8.125000,2.866425
5,8,8.437500,2.881586
5,8,8.750000,2.899562
5,8,9.062500,2.920369
5,8,9.375000,2.944029
5,8,9.687500,2.970564
5,8,10.000000,3.000000
6,1,0.000000,3.467351
6,1,2.000000,3.134255
6,1,4.000000,2.926954
6,1,6.000000,2.837118
6,1,8.000000,2.861142
6,1,10.000000,3.000000
6,2,0.000000,3.467351
6,2,1.000000,3.284369
6,2,2.000000,3.134258
6,2,3.000000,3.015515
6,2,4.000000,2.926953
6,2,5.000000,2.867685
6,2,6.000000,2.837117
6,2,7.000000,2.834944
6,2,8.000000,2.861145
6,2,9.000000,2.915980
6,2,10.000000,3.000000
6,3,0.000000,3.467351
6,3,0.666667,3.341627
6,3,1.333333,3.230760
6,3,2.000000,3.134258
6,3,2.666667,3.051690
6,3,3.333333,2.982691
6,3,4.000000,2.926953
6,3,4.666667,2.884228
6,3,5.333333,2.854327
6,3,6.000000,2.837117
6,3,6.666667,2.832521
6,3,7.333333,2.840518
6,3,8.000000,2.861145
6,3,8.666667,2.894492
6,3,9.333333,2.940709
6,3,10.000000,3.000000
6,4,0.000000,3.467351
6,4,0.500000,3.371645
6,4,1.000000,3.284369
6,4,1.500000,3.205306
6,4,2.000000,3.134258
6,4,2.500000,3.071047
6,4,3.000000,3.015515
6,4,3.500000,2.967524
6,4,4.000000,2.926953
6,4,4.500000,2.893701
6,4,5.000000,2.867685
6,4,5.500000,2.848839
6,4,6.000000,2.837117
6,4,6.500000,2.832489
6,4,7.000000,2.834944
6,4,7.500000,2.844488
6,4,8.000000,2.861145
6,4,8.500000,2.884955
6,4,9.000000,2.915980
6,4,9.500000,2.954296
6,4,10.000000,3.000000
6,5,0.000000,3.467351
6,5,0.400000,3.390104
6,5,0.800000,3.318282
6,5,1.200000,3.251770
6,5,1.600000,3.190461
6,5,2.000000,3.134258
6,5,2.400000,3.083070
6,5,2.800000,3.036816
6,5,3.200000,2.995421
6,5,3.600000,2.958819
6,5,4.000000,2.926953
6,5,4.400000,2.899770
6,5,4.800000,2.877227
6,5,5.200000,2.859289
6,5,5.600000,2.845926
6,5,6.000000,2.837117
6,5,6.400000,2.832848
6,5,6.800000,2.833112
6,5,7.200000,2.837910
6,5,7.600000,2.847249
6,5,8.000000,2.861145
6,5,8.400000,2.879618
6,5,8.800000,2.902700
6,5,9.200000,2.930427
6,5,9.600000,2.962843
6,5,10.000000,3.000000
6,6,0.000000,3.467351
6,6,0.333333,3.402599
6,6,0.666667,3.341627
6,6,1.000000,3.284369
6,6,1.333333,3.230760
6,6,1.666667,3.180742
6,6,2.000000,3.134258
6,6,2.333333,3.091256
6,6,2.666667,3.051690
6,6,3.000000,3.015515
6,6,3.333333,2.982691
6,6,3.666667,2.953181
6,6,4.000000,2.926953
6,6,4.333333,2.903977
6,6,4.666667,2.884228
6,6,5.000000,2.867685
6,6,5.333333,2.854327
6,6,5.666667,2.844142
6,6,6.000000,2.837117
6,6,6.333333,2.833245
6,6,6.666667,2.832521
6,6,7.000000,2.834944
6,6,7.333333,2.840518
6,6,7.666667,2.849248
6,6,8.000000,2.861145
6,6,8.333333,2.876220
6,6,8.666667,2.894492
6,6,9.000000,2.915980
6,6,9.333333,2.940709
6,6,9.666667,2.968705
6,6,10.000000,3.000000
6,7,0.000000,3.467351
6,7,0.285714,3.411616
6,7,0.571429,3.358666
6,7,0.857143,3.308458
6,7,1.142857,3.260950
6,7,1.428571,3.216105
6,7,1.714286,3.173886
6,7,2.000000,3.134258
6,7,2.285714,3.097188
6,7,2.571429,3.062647
6,7,2.857143,3.030606
6,7,3.142857,3.001039
6,7,3.428571,2.973923
6,7,3.714286,2.949234
6,7,4.000000,2.926953
6,7,4.285714,2.907061
6,7,4.571429,2.889543
6,7,4.857143,2.874384
6,7,5.142857,2.861571
6,7,5.428571,2.851094
6,7,5.714286,2.842945
6,7,6.000000,2.837117
6,7,6.285714,2.833605
6,7,6.571429,2.832406
6,7,6.857143,2.833520
6,7,7.142857,2.836947
6,7,7.428571,2.842690
6,7,7.714286,2.850754
6,7,8.000000,2.861145
6,7,8.285714,2.873871
6,7,8.571429,2.888944
6,7,8.857143,2.906376
6,7,9.142857,2.926180
6,7,9.428571,2.948373
6,7,9.714286,2.972973
6,7,10.000000,3.000000
6,8,0.000000,3.467351
6,8,0.250000,3.418430
6,8,0.500000,3.371645
6,8,0.750000,3.326967
6,8,1.000000,3.284369
6,8,1.250000,3.243824
6,8,1.500000,3.205306
6,8,1.750000,3.168791
6,8,2.000000,3.134258
6,8,2.250000,3.101683
6,8,2.500000,3.071047
6,8,2.750000,3.042330
6,8,3.000000,3.015515
6,8,3.250000,2.990585
6,8,3.500000,2.967524
6,8,3.750000,2.946318
6,8,4.000000,2.926953
6,8,4.250000,2.909418
6,8,4.500000,2.893701
6,8,4.750000,2.879793
6,8,5.000000,2.867685
6,8,5.250000,2.857369
6,8,5.500000,2.848839
6,8,5.750000,2.842090
6,8,6.000000,2.837117
6,8,6.250000,2.833917
6,8,6.500000,2.832489
6,8,6.750000,2.832831
6,8,7.000000,2.834944
6,8,7.250000,2.838829
6,8,7.500000,2.844488
6,8,7.750000,2.851925
6,8,8.000000,2.861145
6,8,8.250000,2.872152
6,8,8.500000,2.884955
6,8,8.750000,2.899562
6,8,9.000000,2.915980
6,8,9.250000,2.934221
6,8,9.500000,2.954296
6,8,9.750000,2.976218
6,8,10.000000,3.000000
7,1,0.000000,3.394081
7,1,1.666667,3.114125
7,1,3.333333,2.922992
7,1,5.000000,2.817808
7,1,6.666667,2.795800
7,1,8.333333,2.856908
7,1,10.000000,3.000000
7,2,0.000000,3.394594
7,2,0.833333,3.241534
7,2,1.666667,3.111491
7,2,2.500000,3.004130
7,2,3.333333,2.918786
7,2,4.166667,2.855046
7,2,5.000000,2.811756
7,2,5.833333,2.792069
7,2,6.666667,2.792319
7,2,7.500000,2.813130
7,2,8.333333,2.854559
7,2,9.166667,2.916897
7,2,10.000000,3.000000
7,3,0.000000,3.394595
7,3,0.555556,3.289594
7,3,1.111111,3.194976
7,3,1.666667,3.110712
7,3,2.222222,3.036570
7,3,2.777778,2.972387
7,3,3.333333,2.917652
7,3,3.888889,2.873744
7,3,4.444444,2.838926
7,3,5.000000,2.813348
7,3,5.555556,2.796923
7,3,6.111111,2.789632
7,3,6.666667,2.791185
7,3,7.222222,2.803094
7,3,7.777778,2.823895
7,3,8.333333,2.853929
7,3,8.888889,2.893249
7,3,9.444444,2.941973
7,3,10.000000,3.000000
7,4,0.000000,3.394588
7,4,0.416667,3.314712
7,4,0.833333,3.240723
7,4,1.250000,3.172646
7,4,1.666667,3.110373
7,4,2.083333,3.053829
7,4,2.500000,3.002740
7,4,2.916667,2.957906
7,4,3.333333,2.918333
7,4,3.750000,2.884096
7,4,4.166667,2.855134
7,4,4.583333,2.831419
7,4,5.000000,2.812755
7,4,5.416667,2.799951
7,4,5.833333,2.792133
7,4,6.250000,2.789433
7,4,6.666667,2.791836
7,4,7.083333,2.799356
7,4,7.500000,2.811862
7,4,7.916667,2.830226
7,4,8.333333,2.853637
7,4,8.750000,2.882294
7,4,9.166667,2.916222
7,4,9.583333,2.955483
7,4,10.000000,3.000000
7,5,0.000000,3.394584
7,5,0.333333,3.330138
7,5,0.666667,3.269479
7,5,1.000000,3.212639
7,5,1.333333,3.159560
7,5,1.666667,3.110202
7,5,2.000000,3.064397
7,5,2.333333,3.022674
7,5,2.666667,2.984391
7,5,3.000000,2.949599
7,5,3.333333,2.918260
7,5,3.666667,2.890353
7,5,4.000000,2.865745
7,5,4.333333,2.844955
7,5,4.666667,2.827405
7,5,5.000000,2.813168
7,5,5.333333,2.802224
7,5,5.666667,2.794570
7,5,6.000000,2.790103
7,5,6.333333,2.789353
7,5,6.666667,2.791783
7,5,7.000000,2.797490
7,5,7.333333,2.806471
7,5,7.666667,2.818741
7,5,8.000000,2.834224
7,5,8.333333,2.853481
7,5,8.666667,2.875995
7,5,9.000000,2.901890
7,5,9.333333,2.931182
7,5,9.666667,2.963904
7,5,10.000000,3.000000
7,6,0.000000,3.394581
7,6,0.277778,3.340572
7,6,0.555556,3.289201
7,6,0.833333,3.240500
7,6,1.111111,3.194433
7,6,1.388889,3.150976
7,6,1.666667,3.110018
7,6,1.944444,3.071936
7,6,2.222222,3.036282
7,6,2.500000,3.003094
7,6,2.777778,2.972348
7,6,3.055556,2.944028
7,6,3.333333,2.918041
7,6,3.611111,2.894753
7,6,3.888889,2.873754
7,6,4.166667,2.855092
7,6,4.444444,2.838750
7,6,4.722222,2.824724
7,6,5.000000,2.812936
7,6,5.277778,2.803748
7,6,5.555556,2.796778
7,6,5.833333,2.792086
7,6,6.111111,2.789664
7,6,6.388889,2.789514
7,6,6.666667,2.791572
7,6,6.944444,2.796211
7,6,7.222222,2.803064
7,6,7.500000,2.812202
7,6,7.777778,2.823626
7,6,8.055556,2.837348
7,6,8.333333,2.853314
7,6,8.611111,2.871918
7,6,8.888889,2.892798
7,6,9.166667,2.916038
7,6,9.444444,2.941649
7,6,9.722222,2.969651
7,6,10.000000,3.000000
7,7,0.000000,3.394580
7,7,0.238095,3.348099
7,7,0.476190,3.303561
7,7,0.714286,3.260994
7,7,0.952381,3.220374
7,7,1.190476,3.181687
7,7,1.428571,3.144853
7,7,1.666667,3.110155
7,7,1.904762,3.077263
7,7,2.142857,3.046208
7,7,2.380952,3.016972
7,7,2.619048,2.989545
7,7,2.857143,2.963858
7,7,3.095238,2.940185
7,7,3.333333,2.918219
7,7,3.571429,2.897997
7,7,3.809524,2.879506
7,7,4.047619,2.862739
7,7,4.285714,2.847639
7,7,4.523810,2.834473
7,7,4.761905,2.822954
7,7,5.000000,2.813123
7,7,5.238095,2.804972
7,7,5.476190,2.798500
7,7,5.714286,2.793656
7,7,5.952381,2.790710
7,7,6.190476,2.789386
7,7,6.428571,2.789731
7,7,6.666667,2.791742
7,7,6.904762,2.795423
7,7,7.142857,2.800729
7,7,7.380952,2.807938
7,7,7.619048,2.816780
7,7,7.857143,2.827309
7,7,8.095238,2.839526
7,7,8.333333,2.853440
7,7,8.571429,2.869013
7,7,8.809524,2.886534
7,7,9.047619,2.905735
7,7,9.285714,2.926678
7,7,9.523810,2.949369
7,7,9.761905,2.973821
7,7,10.000000,3.000000
7,8,0.000000,3.394579
7,8,0.208333,3.353784
7,8,0.416667,3.314481
7,8,0.625000,3.276692
7,8,0.833333,3.240400
7,8,1.041667,3.205597
7,8,1.250000,3.172224
7,8,1.458333,3.140499
7,8,1.666667,3.110171
7,8,1.875000,3.081264
7,8,2.083333,3.053766
7,8,2.291667,3.027670
7,8,2.500000,3.002923
7,8,2.708333,2.979737
7,8,2.916667,2.957877
7,8,3.125000,2.937369
7,8,3.333333,2.918205
7,8,3.541667,2.900379
7,8,3.750000,2.883845
7,8,3.958333,2.868811
7,8,4.166667,2.855053
7,8,4.375000,2.842601
7,8,4.583333,2.831449
7,8,4.791667,2.821595
7,8,5.000000,2.812998
7,8,5.208333,2.805864
7,8,5.416667,2.799978
7,8,5.625000,2.795374
7,8,5.833333,2.792048
7,8,6.041667,2.790002
7,8,6.250000,2.789198
7,8,6.458333,2.789843
7,8,6.666667,2.791731
7,8,6.875000,2.794899
7,8,7.083333,2.799343
7,8,7.291667,2.805070
7,8,7.500000,2.812045
7,8,7.708333,2.820482
7,8,7.916667,2.830176
7,8,8.125000,2.841167
7,8,8.333333,2.853456
7,8,8.541667,2.867052
7,8,8.750000,2.881923
7,8,8.958333,2.898292
7,8,9.166667,2.915953
7,8,9.375000,2.934952
7,8,9.583333,2.955292
7,8,9.791667,2.976984
7,8,10.000000,3.000000
8,1,0.000000,3.467351
8,1,1.428571,3.216105
8,1,2.857143,3.030606
8,1,4.285714,2.907061
8,1,5.714286,2.842945
8,1,7.142857,2.836947
8,1,8.571429,2.888944
8,1,10.000000,3.000000
8,2,0.000000,3.467351
8,2,0.714286,3.333222
8,2,1.428571,3.216105
8,2,2.142857,3.115405
8,2,2.857143,3.030606
8,2,3.571429,2.961276
8,2,4.285714,2.907061
8,2,5.000000,2.867685
8,2,5.714286,2.842945
8,2,6.428571,2.832717
8,2,7.142857,2.836947
8,2,7.857143,2.855658
8,2,8.571429,2.888944
8,2,9.285714,2.936977
8,2,10.000000,3.000000
8,3,0.000000,3.467351
8,3,0.476190,3.376009
8,3,0.952381,3.292324
8,3,1.428571,3.216105
8,3,1.904762,3.147181
8,3,2.380952,3.085395
8,3,2.857143,3.030606
8,3,3.333333,2.982691
8,3,3.809524,2.941540
8,3,4.285714,2.907061
8,3,4.761905,2.879175
8,3,5.238095,2.857819
8,3,5.714286,2.842945
8,3,6.190476,2.834519
8,3,6.666667,2.832521
8,3,7.142857,2.836947
8,3,7.619048,2.847808
8,3,8.095238,2.865127
8,3,8.571429,2.888944
8,3,9.047619,2.919314
8,3,9.523810,2.956304
8,3,10.000000,3.000000
8,4,0.000000,3.467351
8,4,0.357143,3.398119
8,4,0.714286,3.333222
8,4,1.071429,3.272576
8,4,1.428571,3.216105
8,4,1.785714,3.163737
8,4,2.142857,3.115405
8,4,2.500000,3.071047
8,4,2.857143,3.030606
8,4,3.214286,2.994032
8,4,3.571429,2.961276
8,4,3.928571,2.932298
8,4,4.285714,2.907061
8,4,4.642857,2.885532
8,4,5.000000,2.867685
8,4,5.357143,2.853495
8,4,5.714286,2.842945
8,4,6.071429,2.836022
8,4,6.428571,2.832717
8,4,6.785714,2.833025
8,4,7.142857,2.836947
8,4,7.500000,2.844488
8,4,7.857143,2.855658
8,4,8.214286,2.870470
8,4,8.571429,2.888944
8,4,8.928571,2.911104
8,4,9.285714,2.936977
8,4,9.642857,2.966596
8,4,10.000000,3.000000
8,5,0.000000,3.467351
8,5,0.285714,3.411616
8,5,0.571429,3.358666
8,5,0.857143,3.308458
8,5,1.142857,3.260950
8,5,1.428571,3.216105
8,5,1.714286,3.173886
8,5,2.000000,3.134258
8,5,2.285714,3.097188
8,5,2.571429,3.062647
8,5,2.857143,3.030606
8,5,3.142857,3.001039
8,5,3.428571,2.973923
8,5,3.714286,2.949234
8,5,4.000000,2.926953
8,5,4.285714,2.907061
8,5,4.571429,2.889543
8,5,4.857143,2.874384
8,5,5.142857,2.861571
8,5,5.428571,2.851094
8,5,5.714286,2.842945
8,5,6.000000,2.837117
8,5,6.285714,2.833605
8,5,6.571429,2.832406
8,5,6.857143,2.833520
8,5,7.142857,2.836947
8,5,7.428571,2.842690
8,5,7.714286,2.850754
8,5,8.000000,2.861145
8,5,8.285714,2.873871
8,5,8.571429,2.888944
8,5,8.857143,2.906376
8,5,9.142857,2.926180
8,5,9.428571,2.948373
8,5,9.714286,2.972973
8,5,10.000000,3.000000
8,6,0.000000,3.467351
8,6,0.238095,3.420710
8,6,0.476190,3.376009
8,6,0.714286,3.333222
8,6,0.952381,3.292324
8,6,1.190476,3.253292
8,6,1.428571,3.216105
8,6,1.666667,3.180742
8,6,1.904762,3.147181
8,6,2.142857,3.115405
8,6,2.380952,3.085395
8,6,2.619048,3.057134
8,6,2.857143,3.030606
8,6,3.095238,3.005796
8,6,3.333333,2.982691
8,6,3.571429,2.961276
8,6,3.809524,2.941540
8,6,4.047619,2.923472
8,6,4.285714,2.907061
8,6,4.523810,2.892298
8,6,4.761905,2.879175
8,6,5.000000,2.867685
8,6,5.238095,2.857819
8,6,5.476190,2.849575
8,6,5.714286,2.842945
8,6,5.952381,2.837927
8,6,6.190476,2.834519
8,6,6.428571,2.832717
8,6,6.666667,2.832521
8,6,6.904762,2.833931
8,6,7.142857,2.836947
8,6,7.380952,2.841572
8,6,7.619048,2.847808
8,6,7.857143,2.855658
8,6,8.095238,2.865127
8,6,8.333333,2.876220
8,6,8.571429,2.888944
8,6,8.809524,2.903306
8,6,9.047619,2.919314
8,6,9.285714,2.936977
8,6,9.523810,2.956304
8,6,9.761905,2.977308
8,6,10.000000,3.000000
8,7,0.000000,3.467351
8,7,0.204082,3.427254
8,7,0.408163,3.388584
8,7,0.612245,3.351326
8,7,0.816327,3.315464
8,7,1.020408,3.280982
8,7,1.224490,3.247868
8,7,1.428571,3.216105
8,7,1.632653,3.185683
8,7,1.836735,3.156587
8,7,2.040816,3.128806
8,7,2.244898,3.102328
8,7,2.448980,3.077143
8,7,2.653061,3.053238
8,7,2.857143,3.030606
8,7,3.061224,3.009236
8,7,3.265306,2.989119
8,7,3.469388,2.970248
8,7,3.673469,2.952613
8,7,3.877551,2.936208
8,7,4.081633,2.921026
8,7,4.285714,2.907061
8,7,4.489796,2.894307
8,7,4.693878,2.882758
8,7,4.897959,2.872410
8,7,5.102041,2.863258
8,7,5.306122,2.855299
8,7,5.510204,2.848529
8,7,5.714286,2.842945
8,7,5.918367,2.838546
8,7,6.122449,2.835328
8,7,6.326531,2.833292
8,7,6.530612,2.832436
8,7,6.734694,2.832760
8,7,6.938776,2.834263
8,7,7.142857,2.836947
8,7,7.346939,2.840813
8,7,7.551020,2.845861
8,7,7.755102,2.852095
8,7,7.959184,2.859517
